year,scheme,title
2022,PKMPM,Pemberdayaan Wanita dalam Pengembangan kuliner etnik sehat Tape Ketan Hitam dalam Peningkatan Fungsi Pencernaan dan Imunitas tubuh melawan Pandemi
2022,PKMRSH,Access to Justice Penyandang Disabilitas Intelektual yang Berhadapan dengan Hukum: Sistem Peradilan Pidana sebagai Implementasi Asas Equality Before the Law
2022,PKMRE,"""CAELI PRAESIDIUM: MEMBRAN ULTRAFILTRASI PENYARING UDARA BERBASIS POLIVINIL KLORIDA"""
2022,PKMRE,Efektivitas Ekstrak Bunga Honje Hutan ( Etlingera Hemisphaerica (Blume) R.M.Sm sebagai alternatif dalam menolak gigitan nyamuk
2022,PKMRE,Pemanfaatan Limbah kulit biji kacang hijau (Vigna Radiata (L) R) Sebagai Penurun Tekanan Darah Tinggi
2022,PKMRE,PENGARUH APIGENIN DALAM MENGHAMBAT MALARIA SEREBRAL SECARA IN VIVO
2022,PKMRE,Pengaruh Apigenin Terhadap Hubungan Aktivitas Antioksidan dan Penghambat ß-HEMATIN sebagai Target Kerja Antimalaria
2022,PKMRE,Pengaruh Pemberian Resveratrol terhadap hubungan Aktivitas Antioksidan dan Penghambatan Beta-Hematin sebagai target kerja Antimalaria secara In Vitro
2022,PKMRE,Potensi Krim Antioksidan Getah Jarak Tintir (Jatropha Multifida Linn) dalam Menghambat Enzim Tironase secara In Silico sebagai Alternatif Agen Pemutih
2022,PKMRE,Potensi Metabolit Sekunder Dalam Daun Kumis Kucing Sebagai Kandidat Obat Baru Inhibitor Xantin Oksidase secara In Silico
2022,PKMRSH,Alih Fungsi Lahan Resapan Air Menjadi Pemukinan di Kawasan Bandung Utara (Studi Kasus Kelurahan Cipageran dan Kelurahan Citeureup)
2022,PKMK,Panel Bambu Akustik Pembersih Udara
2022,PKMK,Sereal sehat berbahan dasar biji melon sebagai pemanfaatan limbah buah-buahan
2022,PKMRE,INOVASI ALGORITMA BRAIN COMPUTER INTERFACE (BCI) DALAM PENERAPAN KURSI RODA MENGGUNAKAN MACHINE LEARNING UNTUK MEMBANTU PENYANDANG DISABILITAS
2022,PKMRE,EKSPLORASI DAN IDENTIFIKASI KARAKTERISASI NANOPARTIKEL PATI UMBI PORANG (Amorphpphallus muelleri Blume) PANDEGLANG BANTEN)
2022,PKMRE,Karakterisasi fraksi aktif antioksidan dari biji Gandaria (Bouea macrophylla)
2022,PKMRE,Efektivitas Kombinasi Ekstrak Sorgum dan Whey Yogurt sebagai Bahan Alternatif Pembuatan Serum Mikrobioma dalam Mengatasi Masalah Jerawat pada Wajah
2022,PKMRE,Filtrasi Leachate Menjadi Pembersih Lantai Pada Netralisasi Turpentine
2022,PKMK,AMPERA (Alat Pembersih Peralatan Laboratorium)
2022,PKMRE,Kinetika Adsorpsi Ion Timbal Menggunakan Graphen Okside Termodifikasi Cangkang Kerang
2022,PKMRSH,Pencak Silat Sebagai Titik Temu Antara Agama Dan Budaya
2022,PKMVGK,ANDINI
2022,PKMPM,Penerapan Sistem Pariwisata Digital Di Museum Bojong Kokosan Kabupaten Sukabumi ADI SEPRIYADI
2022,PKMPM,Pemberdayaan Guru Dalam Implementasi Basic Science Kits Dalam Kurikulum Prototype Di Sekolah Dasar Negeri Bojong
2022,PKMRE,Aktivitas Antioksidan Ekstrak Daun Ketapang (Terminalia Catappa L.) serta Efektivitasnya Sebagai Antikolesterol Secara In Vitro Dan In Silico
2022,PKMRE,Potensi Probiotik dan Eksopolisakarida Isolat Bakteri Asam Laktat Asal Tape Hanjeli
2022,PKMRE,Sintesis Kemosensor Fluoresensi dari Senyawa Kompleks Cu dengan Ligan Turunan Pirazolin untuk Deteksi Ion Logam Berat Hg2+ dan Cd2+
2022,PKMPM,Games Edukasi Ular Tangga Berbasis Digital Untuk Meningkatkan Pemahaman Berhitung Pada Anak-Anak Taman Baca Peka
2022,PKMRSH,"Pengaruh Kualitas Pelaporan Keuangan, Debt Maturity, dan Free Cash Flow Terhadap Efisiensi Investasi Dengan Good Corporate Governance Sebagai Variabel Moderating"
2022,PKMRSH,Persepsi Korupsi dan Tingkat Kepercayaan Terhadap Niat Berprilaku Patuh Calon Wajib Pajak Dimoderasi Tingkat Pengetahuan Pada Mahasiswa Perpajakan Universitas Pamulang
